Drift,t_stamp,LossThresh_0.5,t_stamp.1,LossThresh_0.5.1,t_stamp.1.1,LossThresh_0.5.1.1,t_stamp,LossThresh_0.5
0.0,0,0,0,0,0.0,0.0,0.0,0.0
,10,0,10,0,10.0,0.0,10.0,0.0
,15,0,15,0,15.0,0.0,15.0,0.0
,20,0,20,0,20.0,0.0,20.0,0.0
,25,0,25,0,25.0,0.0,25.0,0.0
,30,0,30,0,30.0,0.0,30.0,0.0
,35,0,35,0,35.0,0.0,35.0,0.0
,40,0,40,0,40.0,0.0,40.0,0.0
,45,0,45,0,45.0,0.0,45.0,0.0
,50,0,50,0,50.0,0.0,50.0,0.0
,55,0,55,0,55.0,0.0,55.0,0.0
,60,0,60,0,60.0,0.0,60.0,0.0
,65,0,65,0,65.0,0.0,65.0,0.0
,70,0,70,0,70.0,0.0,70.0,0.0
,75,0,75,0,75.0,0.0,75.0,0.0
,80,0,80,0,80.0,0.0,80.0,0.0
,85,0,85,0,85.0,0.0,85.0,0.0
,90,0,90,0,90.0,0.0,90.0,0.0
,95,0,95,0,95.0,0.0,95.0,0.0
,100,0,100,0,100.0,0.0,100.0,0.0
,105,0,105,0,105.0,0.0,105.0,0.0
,110,0,110,0,110.0,0.0,110.0,0.0
,115,0,115,0,115.0,0.0,115.0,0.0
,120,0,120,0,120.0,0.0,120.0,0.0
,125,0,125,0,125.0,0.0,125.0,0.0
,130,0,130,0,130.0,0.0,130.0,0.0
,135,0,135,0,135.0,0.0,135.0,0.0
,140,0,140,0,140.0,0.0,140.0,0.0
,145,0,145,0,145.0,0.0,145.0,0.0
,150,0,150,0,150.0,0.0,150.0,0.0
,155,0,155,0,155.0,0.0,155.0,0.0
,160,0,160,0,160.0,0.0,160.0,0.0
,165,0,165,0,165.0,0.0,165.0,0.0
,170,0,170,0,170.0,0.0,170.0,1.0
,175,0,175,0,175.0,0.0,175.0,1.0
,180,0,180,0,180.0,1.0,180.0,1.0
,185,0,185,0,185.0,0.0,185.0,1.0
,190,0,190,0,190.0,0.0,190.0,1.0
,195,0,195,0,195.0,0.0,195.0,1.0
,200,0,200,0,200.0,0.0,200.0,0.0
,205,0,205,0,205.0,0.0,205.0,0.0
,210,0,210,0,210.0,0.0,210.0,0.0
,215,0,215,0,215.0,0.0,215.0,0.0
,220,0,220,0,220.0,0.0,220.0,0.0
,225,0,225,0,225.0,0.0,225.0,0.0
,230,0,230,0,230.0,0.0,230.0,0.0
,235,0,235,0,235.0,0.0,235.0,0.0
,240,0,240,0,240.0,0.0,240.0,0.0
,245,0,245,0,245.0,0.0,245.0,0.0
,250,0,250,0,250.0,0.0,250.0,0.0
,255,0,255,0,255.0,0.0,255.0,0.0
,260,0,260,0,260.0,0.0,260.0,0.0
,265,0,265,0,265.0,0.0,265.0,0.0
,270,0,270,0,270.0,0.0,270.0,0.0
,275,0,275,0,275.0,0.0,275.0,0.0
,280,0,280,0,280.0,0.0,280.0,0.0
,285,0,285,0,285.0,0.0,285.0,0.0
,290,0,290,0,290.0,0.0,290.0,0.0
,295,0,295,0,295.0,0.0,295.0,0.0
,300,0,300,0,300.0,0.0,300.0,0.0
,305,0,305,0,305.0,0.0,305.0,0.0
,310,0,310,0,310.0,0.0,310.0,0.0
,315,0,315,0,315.0,0.0,315.0,0.0
,320,0,320,0,320.0,0.0,320.0,0.0
,325,0,325,0,325.0,0.0,325.0,0.0
,330,0,330,0,330.0,0.0,330.0,0.0
,335,0,335,0,335.0,0.0,335.0,0.0
,340,0,340,0,340.0,0.0,340.0,1.0
,345,0,345,1,345.0,0.0,345.0,1.0
,350,1,350,1,350.0,1.0,350.0,1.0
,355,1,355,1,355.0,0.0,355.0,1.0
,360,1,360,1,360.0,0.0,360.0,1.0
,365,1,365,1,365.0,0.0,365.0,1.0
,370,0,370,1,370.0,0.0,370.0,1.0
,375,0,375,1,375.0,0.0,375.0,1.0
,380,0,380,0,380.0,0.0,380.0,1.0
,385,0,385,0,385.0,0.0,385.0,1.0
,390,0,390,0,390.0,0.0,390.0,1.0
,395,0,395,0,395.0,0.0,395.0,0.0
,400,0,400,0,400.0,0.0,400.0,0.0
,405,0,405,0,405.0,0.0,405.0,0.0
,410,0,410,0,410.0,0.0,410.0,0.0
,415,0,415,0,415.0,0.0,415.0,0.0
,420,0,420,0,420.0,0.0,420.0,0.0
,425,0,425,0,425.0,0.0,425.0,0.0
,430,0,430,0,430.0,0.0,430.0,0.0
,435,0,435,0,435.0,0.0,435.0,0.0
,440,0,440,0,440.0,0.0,440.0,0.0
,445,0,445,0,445.0,0.0,445.0,0.0
,450,0,450,0,450.0,0.0,450.0,0.0
,455,0,455,0,455.0,0.0,455.0,0.0
,460,0,460,0,460.0,0.0,460.0,0.0
,465,0,465,0,465.0,0.0,465.0,0.0
,470,0,470,0,470.0,0.0,470.0,0.0
,475,0,475,0,475.0,0.0,475.0,0.0
,480,0,480,0,480.0,0.0,480.0,0.0
,485,0,485,0,485.0,0.0,485.0,0.0
,490,0,490,0,490.0,0.0,490.0,0.0
,495,0,495,0,495.0,0.0,495.0,0.0
,500,0,500,0,500.0,0.0,500.0,0.0
,505,0,505,0,,,,
,510,0,510,0,,,,
,515,0,515,0,,,,
,520,0,520,0,,,,
,525,0,525,0,,,,
,530,0,530,0,,,,
,535,0,535,0,,,,
,540,0,540,0,,,,
,545,0,545,0,,,,
,550,0,550,0,,,,
,555,0,555,0,,,,
,560,0,560,0,,,,
,565,0,565,0,,,,
,570,0,570,0,,,,
,575,0,575,0,,,,
,580,0,580,0,,,,
,585,0,585,0,,,,
,590,0,590,0,,,,
,595,0,595,0,,,,
,600,0,600,0,,,,
,605,0,605,0,,,,
,610,0,610,0,,,,
,615,0,615,0,,,,
,620,0,620,0,,,,
,625,0,625,0,,,,
,630,0,630,0,,,,
,635,0,635,0,,,,
,640,0,640,0,,,,
,645,0,645,0,,,,
,650,0,650,0,,,,
,655,0,655,0,,,,
,660,0,660,0,,,,
,665,0,665,0,,,,
,670,0,670,1,,,,
,675,1,675,1,,,,
,680,1,680,1,,,,
,685,1,685,1,,,,
,690,1,690,1,,,,
,695,1,695,1,,,,
,700,1,700,1,,,,
,705,0,705,1,,,,
,710,0,710,1,,,,
,715,0,715,1,,,,
,720,0,720,1,,,,
,725,0,725,1,,,,
,730,0,730,1,,,,
,735,0,735,1,,,,
,740,0,740,1,,,,
,745,0,745,1,,,,
,750,0,750,1,,,,
,755,0,755,1,,,,
,760,0,760,1,,,,
,765,0,765,0,,,,
,770,0,770,0,,,,
,775,0,775,0,,,,
,780,0,780,0,,,,
,785,0,785,0,,,,
,790,0,790,0,,,,
,795,0,795,0,,,,
,800,0,800,0,,,,
,805,0,805,0,,,,
,810,0,810,0,,,,
,815,0,815,0,,,,
,820,0,820,0,,,,
,825,0,825,0,,,,
,830,0,830,0,,,,
,835,0,835,0,,,,
,840,0,840,0,,,,
,845,0,845,0,,,,
,850,0,850,0,,,,
,855,0,855,0,,,,
,860,0,860,0,,,,
,865,0,865,0,,,,
,870,0,870,0,,,,
,875,0,875,0,,,,
,880,0,880,0,,,,
,885,0,885,0,,,,
,890,0,890,0,,,,
,895,0,895,0,,,,
,900,0,900,0,,,,
,905,0,905,0,,,,
,910,0,910,0,,,,
,915,0,915,0,,,,
,920,0,920,0,,,,
,925,0,925,0,,,,
,930,0,930,0,,,,
,935,0,935,0,,,,
,940,0,940,0,,,,
,945,0,945,0,,,,
,950,0,950,0,,,,
,955,0,955,0,,,,
,960,0,960,0,,,,
,965,0,965,0,,,,
,970,0,970,0,,,,
,975,0,975,0,,,,
,980,0,980,0,,,,
,985,0,985,0,,,,
,990,0,990,0,,,,
,995,0,995,0,,,,
,1000,0,1000,0,,,,
